"filename", "language", "JavaScript", "Markdown", "JSON", "HTTP", "pyscript", "PostCSS", "comment", "blank", "total"
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\data\applicants.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 37
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\data\projects.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 43
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\data\users.json", "JSON", 0, 0, 162, 0, 0, 0, 0, 0, 162
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\models\applicants.schema.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 1, 8
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\models\projects.schema.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\models\users.schema.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\router.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 9, 30
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\routes\applicants.js", "JavaScript", 52, 0, 0, 0, 0, 0, 38, 18, 108
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\routes\auth.js", "JavaScript", 63, 0, 0, 0, 0, 0, 3, 16, 82
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\routes\projects.js", "JavaScript", 37, 0, 0, 0, 0, 0, 1, 15, 53
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\routes\users.js", "JavaScript", 39, 0, 0, 0, 0, 0, 1, 10, 50
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\services\applicants.service.js", "JavaScript", 134, 0, 0, 0, 0, 0, 71, 36, 241
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\services\projects.service.js", "JavaScript", 65, 0, 0, 0, 0, 0, 1, 22, 88
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\services\users.service.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 16, 68
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\tests\applicants.test.http", "HTTP", 0, 0, 0, 10, 0, 0, 10, 9, 29
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\tests\auth.test.http", "HTTP", 0, 0, 0, 17, 0, 0, 2, 3, 22
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\tests\projects.test.http", "HTTP", 0, 0, 0, 62, 0, 0, 10, 13, 85
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\tests\users.test.http", "HTTP", 0, 0, 0, 1, 0, 0, 1, 0, 2
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\backend\utils\auth.utils.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\frontend\api\applicants.api.js", "JavaScript", 87, 0, 0, 0, 0, 0, 73, 19, 179
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\frontend\api\projects.api.js", "JavaScript", 71, 0, 0, 0, 0, 0, 1, 15, 87
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\frontend\api\users.api.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 9, 68
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\frontend\scripts\home.js", "JavaScript", 752, 0, 0, 0, 0, 0, 33, 79, 864
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\frontend\styles\home.css", "PostCSS", 0, 0, 0, 0, 0, 300, 11, 59, 370
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\App\frontend\views\home.html", "pyscript", 0, 0, 0, 0, 217, 0, 0, 13, 230
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\package-lock.json", "JSON", 0, 0, 905, 0, 0, 0, 0, 1, 906
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\package.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\IM²\Shul\web\intento 4\proyecto\Freelancer-App\server.js", "JavaScript", 15, 0, 0, 0, 0, 0, 1, 6, 22
"Total", "-", 1489, 2, 1156, 90, 217, 300, 258, 373, 3885